title,memory_capacity,memory_frequency,memory_type,manufacturer,gpu_name,gpu_frequency,min_price,max_price,img_url,reference_url
Asus GeForce RTX 3060 Ti ROG STRIX V2 Gaming OC LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1890 МГц,33318,33318,https://s.ek.ua/jpg/2052939.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-TI-ROG-STRIX-V2-GAMING-OC-LHR.htm
Palit GeForce RTX 3060 Dual V1 LHR,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1777 МГц,25640,27789,https://s.ek.ua/jpg/2070418.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3060-DUAL-V1-LHR.htm
Gigabyte GeForce RTX 3060 Ti EAGLE OC LHR 8G,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1695 МГц,28323,39999,https://s.ek.ua/jpg/2055470.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3060-TI-EAGLE-OC-LHR-8G.htm
Biostar Radeon RX 550 VA5505RF41,4 ГБ,6000 МГц,GDDR5,AMD,AMD Radeon RX 550,1183 МГц,6299,7128,https://s.ek.ua/jpg/2073230.jpg,https://ek.ua/ua/ua/BIOSTAR-RADEON-RX-550-VA5505RF41.htm
MSI GeForce GTX 1650 VENTUS XS 4G OC,4 ГБ,8000 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1650,1740 МГц,12299,14378,https://s.ek.ua/jpg/1550315.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-GTX-1650-VENTUS-XS-4G-OC.htm
Asus GeForce GTX 1060 DUAL OC 6GB,6 ГБ,8008 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1060,1594 МГц,19165,19165,https://s.ek.ua/jpg/876412.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-GTX-1060-DUAL-OC-6GB.htm
Asus GeForce GTX 1050 Ti CERBERUS-GTX1050TI-O4G,4 ГБ,7008 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1050 Ti,1366 МГц,11225,11225,https://s.ek.ua/jpg/1271516.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-GTX-1050-TI-CERBERUS-GTX1050TI-O4G.htm
Sapphire Radeon RX 6600 XT PULSE,8 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6600 XT,2593 МГц,24051,30290,https://s.ek.ua/jpg/2076434.jpg,https://ek.ua/ua/ua/SAPPHIRE-RADEON-RX-6600-XT-PULSE.htm
Gigabyte GeForce GT 1030 Low Profile 2G,2 ГБ,6008 МГц,GDDR5,NVIDIA,NVIDIA GeForce GT 1030,1252 МГц,3235,9730,https://s.ek.ua/jpg/1113025.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-GT-1030-LOW-PROFILE-2G.htm
Palit GeForce 1050 Ti StormX NE5105T018G1-1070F,4 ГБ,7000 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1050 Ti,1290 МГц,9999,12904,https://s.ek.ua/jpg/951123.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-1050-TI-STORMX-NE5105T018G1-1070F.htm
Asus GeForce RTX 3080 Ti ROG STRIX OC,12 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3080 Ti,1845 МГц,94999,94999,https://s.ek.ua/jpg/2038314.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3080-TI-ROG-STRIX-OC.htm
Gigabyte GeForce RTX 3060 GAMING OC 12G,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1837 МГц,32699,32699,https://s.ek.ua/jpg/1941020.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3060-GAMING-OC-12G.htm
MSI GeForce RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1695 МГц,32899,40700,https://s.ek.ua/jpg/2053079.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-TI-VENTUS-2X-8G-OCV1-LHR.htm
MSI GeForce RTX 3060 GAMING Z TRIO 12G,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1867 МГц,27890,36025,https://s.ek.ua/jpg/2077707.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-GAMING-Z-TRIO-12G.htm
Asus GeForce RTX 3060 ROG STRIX V2 Gaming OC LHR,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1912 МГц,27189,32999,https://s.ek.ua/jpg/2052893.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-ROG-STRIX-V2-GAMING-OC-LHR.htm
MSI GeForce GTX 1660 Ti VENTUS XS 6G OC,6 ГБ,12000 МГц,GDDR6,NVIDIA,NVIDIA GeForce GTX 1660 Ti,1830 МГц,22500,22892,https://s.ek.ua/jpg/1518235.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-GTX-1660-TI-VENTUS-XS-6G-OC.htm
Asus Radeon RX 570 EX-RX570-O4G,4 ГБ,7000 МГц,GDDR5,AMD,AMD Radeon RX 570,1266 МГц,10100,10700,https://s.ek.ua/jpg/1096918.jpg,https://ek.ua/ua/ua/ASUS-RADEON-RX-570-EX-RX570-O4G.htm
Palit GeForce RTX 3060 Ti Dual V1 LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1665 МГц,29052,34999,https://s.ek.ua/jpg/2053217.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3060-TI-DUAL-V1-LHR.htm
Gigabyte Radeon RX 6700 XT GAMING OC 12G,12 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6700 XT,2622 МГц,34452,38930,https://s.ek.ua/jpg/1977435.jpg,https://ek.ua/ua/ua/GIGABYTE-RADEON-RX-6700-XT-GAMING-OC-12G.htm
Asus GeForce GTX 1060 Dual OC 3GB,3 ГБ,8008 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1060,1594 МГц,10570,10830,https://s.ek.ua/jpg/899012.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-GTX-1060-DUAL-OC-3GB.htm
Palit GeForce RTX 3070 Ti GameRock,8 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3070 Ti,1770 МГц,46520,50490,https://s.ek.ua/jpg/2034140.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3070-TI-GAMEROCK.htm
AFOX GeForce GT 1030 AF1030-2048D5L5-V2,2 ГБ,6000 МГц,GDDR5,NVIDIA,NVIDIA GeForce GT 1030,1265 МГц,3750,7151,https://s.ek.ua/jpg/1971850.jpg,https://ek.ua/ua/ua/AFOX-GEFORCE-GT-1030-AF1030-2048D5L5-V2.htm
Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G,4 ГБ,12000 МГц,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650,1710 МГц,12110,12816,https://s.ek.ua/jpg/1775989.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-GTX-1650-D6-WINDFORCE-OC-4G.htm
Asus GeForce GTX 1070 DUAL-GTX1070-O8G,8 ГБ,8000 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1070,1582 МГц,18199,18199,https://s.ek.ua/jpg/867362.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-GTX-1070-DUAL-GTX1070-O8G.htm
Asus GeForce RTX 3060 Ti Dual V2 Mini LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1695 МГц,28323,33999,https://s.ek.ua/jpg/2077938.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-TI-DUAL-V2-MINI-LHR.htm
Asus GeForce RTX 3060 Phoenix V2 LHR,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1807 МГц,23652,27884,https://s.ek.ua/jpg/2087262.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-PHOENIX-V2-LHR.htm
